yymmdd,qty,rhm_avg,gsr_sum,discount,cust_grp_cd,biz_cd,line_cd,brand_cd,브랜드,SP1
2021-09-26,15.83,67.4,18.18,0.09,1095,P1,P103,P103054,칙촉,종로영업소
2021-10-03,57.67,78.4,12.58,0.1,1095,P1,P103,P103054,칙촉,종로영업소
2021-10-10,179.4949718960679,85.17,4.72,0.15,1095,P1,P103,P103054,칙촉,종로영업소
2021-10-17,86.97,71.33,11.67,0.23,1095,P1,P103,P103054,칙촉,종로영업소
2021-10-24,84.55,64.66,12.65,0.18,1095,P1,P103,P103054,칙촉,종로영업소
2021-10-31,112.5,63.11,13.73,0.14,1095,P1,P103,P103054,칙촉,종로영업소
2021-11-07,96.13,74.18,11.57,0.17,1095,P1,P103,P103054,칙촉,종로영업소
2021-11-14,123.65,69.16,7.98,0.14,1095,P1,P103,P103054,칙촉,종로영업소
2021-11-21,54.67,72.2,9.2,0.18,1095,P1,P103,P103054,칙촉,종로영업소
2021-11-28,55.13,60.84,8.49,0.19,1095,P1,P103,P103054,칙촉,종로영업소
2021-12-05,59.77,61.68,8.46,0.22,1095,P1,P103,P103054,칙촉,종로영업소
2021-12-12,110.83,70.15,7.2,0.19,1095,P1,P103,P103054,칙촉,종로영업소
2021-12-19,69.5,61.42,8.4,0.2,1095,P1,P103,P103054,칙촉,종로영업소
2021-12-26,57.0,62.14,7.75,0.2,1095,P1,P103,P103054,칙촉,종로영업소
2022-01-02,50.25,61.92,6.64,0.2,1095,P1,P103,P103054,칙촉,종로영업소
2022-01-09,91.5,51.1,9.93,0.19,1095,P1,P103,P103054,칙촉,종로영업소
2022-01-16,79.58,51.44,11.2,0.2,1095,P1,P103,P103054,칙촉,종로영업소
2022-01-23,71.0,61.34,8.39,0.19,1095,P1,P103,P103054,칙촉,종로영업소
2022-01-30,63.37,63.78,8.19,0.18,1095,P1,P103,P103054,칙촉,종로영업소
2022-02-06,47.0,53.22,13.12,0.2,1095,P1,P103,P103054,칙촉,종로영업소
2022-02-13,85.22,54.88,12.88,0.19,1095,P1,P103,P103054,칙촉,종로영업소
2022-02-20,73.53,54.03,12.64,0.21,1095,P1,P103,P103054,칙촉,종로영업소
2022-02-27,59.75,54.09,15.56,0.21,1095,P1,P103,P103054,칙촉,종로영업소
2022-03-06,66.33,57.71,15.25,0.21,1095,P1,P103,P103054,칙촉,종로영업소
2022-03-13,79.4,53.41,15.63,0.22,1095,P1,P103,P103054,칙촉,종로영업소
2022-03-20,123.4,69.72,11.43,0.22,1095,P1,P103,P103054,칙촉,종로영업소
2022-03-27,68.0,58.09,12.77,0.2,1095,P1,P103,P103054,칙촉,종로영업소
2022-04-03,179.4949718960679,55.32,19.63,0.22,1095,P1,P103,P103054,칙촉,종로영업소
2022-04-10,81.65,47.08,23.39,0.23,1095,P1,P103,P103054,칙촉,종로영업소
2022-04-17,98.0,63.51,15.97,0.23,1095,P1,P103,P103054,칙촉,종로영업소
2022-04-24,62.85,55.2,19.12,0.22,1095,P1,P103,P103054,칙촉,종로영업소
2022-05-01,98.2,54.35,20.42,0.2,1095,P1,P103,P103054,칙촉,종로영업소
2022-05-08,109.93,53.6,26.7,0.21,1095,P1,P103,P103054,칙촉,종로영업소
2022-05-15,86.78,48.4,26.34,0.23,1095,P1,P103,P103054,칙촉,종로영업소
2022-05-22,97.52,57.02,23.06,0.22,1095,P1,P103,P103054,칙촉,종로영업소
2022-05-29,84.0,61.78,27.08,0.22,1095,P1,P103,P103054,칙촉,종로영업소
2022-06-05,57.1,62.6,24.62,0.24,1095,P1,P103,P103054,칙촉,종로영업소
2022-06-12,105.07,64.79,15.97,0.21,1095,P1,P103,P103054,칙촉,종로영업소
2022-06-19,99.17,74.25,15.39,0.2,1095,P1,P103,P103054,칙촉,종로영업소
2022-06-26,92.87,78.14,17.0,0.24,1095,P1,P103,P103054,칙촉,종로영업소
2022-07-03,80.12,0.0,0.0,0.22,1095,P1,P103,P103054,칙촉,종로영업소
2022-07-10,108.73,0.0,0.0,0.24,1095,P1,P103,P103054,칙촉,종로영업소
2022-07-17,79.35,0.0,0.0,0.25,1095,P1,P103,P103054,칙촉,종로영업소
2022-07-24,64.15,75.59,20.1,0.19,1095,P1,P103,P103054,칙촉,종로영업소
2022-07-31,98.15,70.47,22.67,0.29,1095,P1,P103,P103054,칙촉,종로영업소
