yymmdd,qty,SP1,브랜드
2022-09-11,53.1875,종로영업소,말랑카우
2022-09-18,62.1875,종로영업소,말랑카우
2022-09-25,46.0625,종로영업소,말랑카우
2022-10-02,51.0625,종로영업소,말랑카우
2022-10-09,67.5625,종로영업소,말랑카우
2022-10-16,81.25,종로영업소,말랑카우
2022-10-23,83.3125,종로영업소,말랑카우
2022-10-30,51.625,종로영업소,말랑카우
2022-11-06,61.125,종로영업소,말랑카우
2022-11-13,94.1875,종로영업소,말랑카우
2022-11-20,94.75,종로영업소,말랑카우
2022-11-27,77.75,종로영업소,말랑카우
2022-12-04,77.4375,종로영업소,말랑카우
2022-12-11,81.625,종로영업소,말랑카우
2022-12-18,148.25,종로영업소,말랑카우
2022-12-25,96.4375,종로영업소,말랑카우
2023-01-01,99.125,종로영업소,말랑카우
2023-01-08,137.0,종로영업소,말랑카우
2023-01-15,88.3125,종로영업소,말랑카우
2023-01-22,137.625,종로영업소,말랑카우
2020-03-22,16.8478946685791,종로영업소,씨리얼
2020-03-29,16.8478946685791,종로영업소,씨리얼
2020-04-05,16.8478946685791,종로영업소,씨리얼
2020-04-12,10.6171875,종로영업소,씨리얼
2020-04-19,16.8478946685791,종로영업소,씨리얼
2020-04-26,16.8478946685791,종로영업소,씨리얼
2020-05-03,21.0,종로영업소,씨리얼
2020-05-10,16.8478946685791,종로영업소,씨리얼
2020-05-17,16.8478946685791,종로영업소,씨리얼
2020-05-24,16.8478946685791,종로영업소,씨리얼
2020-05-31,16.8478946685791,종로영업소,씨리얼
2020-06-07,16.8478946685791,종로영업소,씨리얼
2020-06-14,9.0,종로영업소,씨리얼
2020-06-21,16.8478946685791,종로영업소,씨리얼
2020-06-28,16.8478946685791,종로영업소,씨리얼
2020-07-05,16.8478946685791,종로영업소,씨리얼
2020-07-12,16.8478946685791,종로영업소,씨리얼
2020-07-19,16.8478946685791,종로영업소,씨리얼
2020-07-26,11.0,종로영업소,씨리얼
2020-08-02,16.8478946685791,종로영업소,씨리얼
2020-08-09,7.0,종로영업소,씨리얼
2020-08-16,9.0,종로영업소,씨리얼
2020-08-23,7.0,종로영업소,씨리얼
2020-08-30,16.8478946685791,종로영업소,씨리얼
2020-09-06,6.0,종로영업소,씨리얼
2020-09-13,16.8478946685791,종로영업소,씨리얼
2020-09-20,16.8478946685791,종로영업소,씨리얼
2020-09-27,13.0,종로영업소,씨리얼
2020-10-04,16.84375,종로영업소,씨리얼
2020-10-11,45.0,종로영업소,씨리얼
2020-10-18,16.8478946685791,종로영업소,씨리얼
2020-10-25,22.625,종로영업소,씨리얼
2020-11-01,16.8478946685791,종로영업소,씨리얼
2020-11-08,16.8478946685791,종로영업소,씨리얼
2020-11-15,16.8478946685791,종로영업소,씨리얼
2020-11-22,16.8478946685791,종로영업소,씨리얼
2020-11-29,6.0,종로영업소,씨리얼
2020-12-06,16.8478946685791,종로영업소,씨리얼
2020-12-13,9.0,종로영업소,씨리얼
2020-12-20,14.0,종로영업소,씨리얼
2020-12-27,16.8478946685791,종로영업소,씨리얼
2021-01-03,16.8478946685791,종로영업소,씨리얼
2021-01-10,15.0,종로영업소,씨리얼
2021-01-17,8.4375,종로영업소,씨리얼
2021-01-24,12.0,종로영업소,씨리얼
2021-01-31,16.8478946685791,종로영업소,씨리얼
2021-02-07,16.8478946685791,종로영업소,씨리얼
2021-02-14,13.6171875,종로영업소,씨리얼
2021-02-21,16.8478946685791,종로영업소,씨리얼
2021-02-28,16.0,종로영업소,씨리얼
2021-03-07,16.8478946685791,종로영업소,씨리얼
2021-03-14,12.0,종로영업소,씨리얼
2021-03-21,16.84375,종로영업소,씨리얼
2021-03-28,12.0,종로영업소,씨리얼
2021-04-04,16.8478946685791,종로영업소,씨리얼
2021-04-11,14.0,종로영업소,씨리얼
2021-04-18,16.8478946685791,종로영업소,씨리얼
2021-04-25,16.8478946685791,종로영업소,씨리얼
2021-05-02,16.84375,종로영업소,씨리얼
2021-05-09,15.0,종로영업소,씨리얼
2021-05-16,16.8478946685791,종로영업소,씨리얼
2021-05-23,12.0,종로영업소,씨리얼
2021-05-30,16.8478946685791,종로영업소,씨리얼
2021-06-06,18.0,종로영업소,씨리얼
2021-06-13,16.8478946685791,종로영업소,씨리얼
2021-06-20,16.875,종로영업소,씨리얼
2021-06-27,16.8478946685791,종로영업소,씨리얼
2021-07-04,16.8478946685791,종로영업소,씨리얼
2021-07-11,12.0,종로영업소,씨리얼
2021-07-18,6.0,종로영업소,씨리얼
2021-07-25,16.8478946685791,종로영업소,씨리얼
2021-08-01,16.84375,종로영업소,씨리얼
2021-08-08,13.0,종로영업소,씨리얼
2021-08-15,16.8478946685791,종로영업소,씨리얼
2021-08-22,16.8478946685791,종로영업소,씨리얼
2021-08-29,16.0,종로영업소,씨리얼
2021-09-05,16.8478946685791,종로영업소,씨리얼
2021-09-12,14.0,종로영업소,씨리얼
2021-09-19,11.0,종로영업소,씨리얼
2021-09-26,16.8478946685791,종로영업소,씨리얼
2021-10-03,13.0,종로영업소,씨리얼
2021-10-10,11.0,종로영업소,씨리얼
2021-10-17,10.0,종로영업소,씨리얼
2021-10-24,9.0,종로영업소,씨리얼
2021-10-31,18.0,종로영업소,씨리얼
2021-11-07,16.8478946685791,종로영업소,씨리얼
2021-11-14,16.8478946685791,종로영업소,씨리얼
2021-11-21,14.0,종로영업소,씨리얼
2021-11-28,16.0,종로영업소,씨리얼
2021-12-05,11.8125,종로영업소,씨리얼
2021-12-12,15.0,종로영업소,씨리얼
2021-12-19,8.0,종로영업소,씨리얼
2021-12-26,21.0,종로영업소,씨리얼
2022-01-02,14.0,종로영업소,씨리얼
2022-01-09,17.0,종로영업소,씨리얼
2022-01-16,17.734375,종로영업소,씨리얼
2022-01-23,12.21875,종로영업소,씨리얼
2022-01-30,20.78125,종로영업소,씨리얼
2022-02-06,11.0,종로영업소,씨리얼
2022-02-13,14.6171875,종로영업소,씨리얼
2022-02-20,21.703125,종로영업소,씨리얼
2022-02-27,11.0,종로영업소,씨리얼
2022-03-06,20.25,종로영업소,씨리얼
2022-03-13,14.75,종로영업소,씨리얼
2022-03-20,23.0,종로영업소,씨리얼
2022-03-27,13.3828125,종로영업소,씨리얼
2022-04-03,15.5,종로영업소,씨리얼
2022-04-10,24.390625,종로영업소,씨리얼
2022-04-17,25.0625,종로영업소,씨리얼
2022-04-24,20.0,종로영업소,씨리얼
2022-05-01,29.5,종로영업소,씨리얼
2022-05-08,36.40625,종로영업소,씨리얼
2022-05-15,18.96875,종로영업소,씨리얼
2022-05-22,28.75,종로영업소,씨리얼
2022-05-29,21.0,종로영업소,씨리얼
2022-06-05,36.0,종로영업소,씨리얼
2022-06-12,45.0,종로영업소,씨리얼
2022-06-19,43.5,종로영업소,씨리얼
2022-06-26,42.5,종로영업소,씨리얼
2022-07-03,27.0,종로영업소,씨리얼
2022-07-10,32.5,종로영업소,씨리얼
2022-07-17,36.5,종로영업소,씨리얼
2022-07-24,30.5,종로영업소,씨리얼
